서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
3078045.0,1287391.0,1122296.0,1409174.0,628858.0,643575.0,536007.0,5077528.0,715174.0,752295.0,1002375.0,861189.0,934952.0,1343823.0,1610931.0,458797.0,105688.0
3080627.0,1289596.0,1123671.0,1415540.0,629969.0,644240.0,536689.0,5094685.0,716906.0,754347.0,1005222.0,862747.0,937381.0,1346014.0,1614008.0,460308.0,106757.0
3083269.0,1291084.0,1125092.0,1421640.0,631099.0,645112.0,536131.0,5113529.0,718687.0,756480.0,1008407.0,864835.0,942588.0,1348557.0,1616504.0,461876.0,108105.0
3084245.0,1293107.0,1127839.0,1431690.0,632583.0,646688.0,537672.0,5136236.0,720961.0,759056.0,1012343.0,867409.0,947752.0,1351556.0,1621512.0,464607.0,109214.0
3083007.0,1295316.0,1130811.0,1437373.0,633375.0,648084.0,538720.0,5160921.0,722333.0,760701.0,1015203.0,869002.0,952004.0,1353654.0,1625244.0,467243.0,110360.0
3091903.0,1300184.0,1135006.0,1445827.0,636015.0,650595.0,540964.0,5187211.0,724972.0,764206.0,1020141.0,872161.0,956413.0,1359113.0,1631608.0,469392.0,111516.0
3093930.0,1300316.0,1135646.0,1449769.0,636743.0,650908.0,541387.0,5196362.0,726277.0,766543.0,1023959.0,873395.0,958692.0,1361908.0,1634959.0,470813.0,112692.0
3095613.0,1303909.0,1138268.0,1454764.0,638056.0,651954.0,542434.0,5211908.0,728238.0,768982.0,1028121.0,875290.0,962623.0,1365189.0,1639400.0,474889.0,114575.0
3099256.0,1307446.0,1140879.0,1461573.0,639285.0,653205.0,543303.0,5232031.0,730443.0,771422.0,1032202.0,877618.0,967487.0,1368459.0,1643001.0,477979.0,116304.0
3103357.0,1311219.0,1144276.0,1465912.0,640460.0,653815.0,544154.0,5247754.0,732514.0,773320.0,1035875.0,879736.0,971021.0,1371375.0,1645762.0,479704.0,118667.0
3107935.0,1315538.0,1147171.0,1474320.0,642414.0,654980.0,545289.0,5266842.0,734753.0,775667.0,1039573.0,881479.0,974601.0,1374572.0,1649935.0,482865.0,120631.0
3112120.0,1319052.0,1149216.0,1482505.0,643756.0,656189.0,546167.0,5286640.0,736938.0,777410.0,1043037.0,883311.0,978484.0,1377921.0,1653011.0,486688.0,122153.0
3113550.0,1322368.0,1150147.0,1485973.0,645179.0,656768.0,546628.0,5302204.0,738864.0,779691.0,1046286.0,884782.0,981056.0,1380585.0,1654794.0,489674.0,123842.0
3115764.0,1326522.0,1152024.0,1492139.0,646936.0,658093.0,547548.0,5328680.0,741209.0,782346.0,1050267.0,887756.0,984116.0,1385102.0,1658276.0,493255.0,125278.0
3116066.0,1327652.0,1152836.0,1497259.0,647730.0,658534.0,548292.0,5343944.0,742712.0,784024.0,1052661.0,888800.0,986056.0,1387840.0,1661036.0,495262.0,126603.0
3117713.0,1330958.0,1155789.0,1504816.0,649341.0,659496.0,549105.0,5367400.0,744855.0,785883.0,1055781.0,891078.0,990525.0,1390682.0,1665778.0,497989.0,128173.0
3116256.0,1333224.0,1157053.0,1510319.0,649293.0,659619.0,549489.0,5386022.0,745959.0,787188.0,1057572.0,892118.0,994318.0,1392151.0,1667809.0,500197.0,129708.0
3118469.0,1337098.0,1159779.0,1518259.0,650988.0,661136.0,550794.0,5410671.0,747942.0,789964.0,1061574.0,894354.0,997919.0,1395844.0,1671341.0,504384.0,131366.0
3118125.0,1339684.0,1161086.0,1523039.0,651797.0,661224.0,551530.0,5419963.0,749073.0,791382.0,1064837.0,895677.0,999511.0,1397213.0,1673382.0,507722.0,133372.0
3116691.0,1342367.0,1163153.0,1527657.0,652723.0,661833.0,552619.0,5438855.0,751024.0,793745.0,1068608.0,897069.0,1003271.0,1399597.0,1677137.0,512190.0,135263.0
3119463.0,1346249.0,1164220.0,1532983.0,653909.0,662962.0,553893.0,5460515.0,753084.0,796754.0,1071687.0,899846.0,1006728.0,1402773.0,1679469.0,516779.0,137260.0
